DEBUG , 42 , 2023-08-11 08:58:03,452 , doFilter----/main.bit
DEBUG , 50 , 2023-08-11 08:58:03,453 , doFilter3----.bit
DEBUG , 28 , 2023-08-11 08:58:03,453 , /main.bit
DEBUG , 30 , 2023-08-11 08:58:03,453 , main
DEBUG , 39 , 2023-08-11 08:58:03,493 , doFilter----/favicon.ico
DEBUG , 42 , 2023-08-11 08:58:03,493 , doFilter----/favicon.ico
DEBUG , 50 , 2023-08-11 08:58:03,493 , doFilter3----.ico
DEBUG , 39 , 2023-08-11 08:58:03,497 , doFilter----/main.bit
DEBUG , 42 , 2023-08-11 08:58:03,497 , doFilter----/main.bit
DEBUG , 50 , 2023-08-11 08:58:03,497 , doFilter3----.bit
DEBUG , 28 , 2023-08-11 08:58:03,497 , /main.bit
DEBUG , 30 , 2023-08-11 08:58:03,497 , main
DEBUG , 25 , 2023-08-11 09:02:56,839 , Log4J Logging started: /Users/chaeminlee/Documents/LotteBitWorkspace/bit2023/mybatis1/target/mybatis1-1.0-SNAPSHOT/WEB-INF/log4j.properties
DEBUG , 39 , 2023-08-11 09:02:56,913 , doFilter----/
DEBUG , 42 , 2023-08-11 09:02:56,914 , doFilter----/
DEBUG , 39 , 2023-08-11 09:02:56,917 , doFilter----/main.bit
DEBUG , 42 , 2023-08-11 09:02:56,917 , doFilter----/main.bit
DEBUG , 50 , 2023-08-11 09:02:56,917 , doFilter3----.bit
DEBUG , 28 , 2023-08-11 09:03:09,742 , /main.bit
DEBUG , 30 , 2023-08-11 09:03:09,742 , main
DEBUG , 39 , 2023-08-11 09:03:14,539 , doFilter----/
DEBUG , 42 , 2023-08-11 09:03:14,539 , doFilter----/
DEBUG , 39 , 2023-08-11 09:03:14,540 , doFilter----/main.bit
DEBUG , 42 , 2023-08-11 09:03:14,540 , doFilter----/main.bit
DEBUG , 50 , 2023-08-11 09:03:14,540 , doFilter3----.bit
DEBUG , 28 , 2023-08-11 09:03:14,540 , /main.bit
DEBUG , 30 , 2023-08-11 09:03:14,540 , main
DEBUG , 39 , 2023-08-11 09:03:14,627 , doFilter----/
DEBUG , 42 , 2023-08-11 09:03:14,629 , doFilter----/
DEBUG , 39 , 2023-08-11 09:03:14,631 , doFilter----/main.bit
DEBUG , 42 , 2023-08-11 09:03:14,631 , doFilter----/main.bit
DEBUG , 50 , 2023-08-11 09:03:14,631 , doFilter3----.bit
DEBUG , 28 , 2023-08-11 09:03:14,632 , /main.bit
DEBUG , 30 , 2023-08-11 09:03:14,632 , main
DEBUG , 39 , 2023-08-11 09:03:14,699 , doFilter----/favicon.ico
DEBUG , 42 , 2023-08-11 09:03:14,700 , doFilter----/favicon.ico
DEBUG , 50 , 2023-08-11 09:03:14,700 , doFilter3----.ico
DEBUG , 39 , 2023-08-11 09:03:14,702 , doFilter----/main.bit
DEBUG , 42 , 2023-08-11 09:03:14,702 , doFilter----/main.bit
DEBUG , 50 , 2023-08-11 09:03:14,702 , doFilter3----.bit
DEBUG , 28 , 2023-08-11 09:03:14,702 , /main.bit
